essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
1,1,Answer Activities ,,,,3,,,,,,,,,,,,,,,,,,,,,,
2,1,"i open it up, play genshin impact, after that, i open honkai star rail, do my dailies then move on to another game called devil may cry 5, which is the best game in the series featuring dante from the devil may cry series. after playing i open my browser and browse social media until i get bored and sleep",,,,5,,,,,,,,,,,,,,,,,,,,,,
3,1,"Utilizing my computer productively as a student involves various activities. I focus on learning new skills online through platforms like YouTube etc., particularly honing my coding abilities via interactive platforms. Understanding computer components is crucial, and I dedicate time to researching hardware components like CPUs and GPUs. Additionally, I conduct research for my thesis and engage in group studies with classmates, maximizing the collaborative potential of my computer.",,,,8,,,,,,,,,,,,,,,,,,,,,,
4,1,"I spend a significant amount of time coding websites. This includes designing the layout, writing HTML, CSS, and JavaScript code, and ensuring the website functions seamlessly across different browsers and devices. Additionally, I enjoy learning new programming languages like Python to expand my skill set and take on more challenging projects.",,,,10,,,,,,,,,,,,,,,,,,,,,,
5,1,"Probably the productive things I do with my computer are that I spent a lot of time coding websites, watching tutorials to help me nurture my skills, making my website functionable, learning new things about the web development, creating new projects, and designing a user friendly interface using an application called ""Figma"". ",,,,7,,,,,,,,,,,,,,,,,,,,,,
6,1,"Whenever I'm on my computer, I'm constantly searching for new information. I use it to satisfy my thirst for learning, but it's not just for studying, I also enjoy playing games on it when I need to unwind and have some fun.",,,,5,,,,,,,,,,,,,,,,,,,,,,
7,2,Play games and Answer Activities ,,,,2,,,,,,,,,,,,,,,,,,,,,,
8,2,"i open it up, sometimes code when im in the mood, browse social media, watch anime or movies, open settings and mess around, customize my desktop with rainmeter, and turn it off",,,,3,,,,,,,,,,,,,,,,,,,,,,
9,2,"I often engage in studying for my major subjects, making the most of any available time to progress on both my personal website and the application assigned by our professor for our final exam. During my free moments, I utilize my computer for leisure activities, including watching movies, playing games, and browsing the internet for social updates.",,,,9,,,,,,,,,,,,,,,,,,,,,,
10,2,I also love playing games on my computer with friends online. It's a great way to unwind and socialize after a productive day. Some of my favorite games include multiplayer titles that allow us to team up and tackle challenges together.,,,,7,,,,,,,,,,,,,,,,,,,,,,
11,2,"Mostly playing online games with my friends, it helps me to feel relaxed after the school works and a good way to stay connected with my friends. I also try to create random projects to enhance my skills in front-end development, it is also a good way to build my portfolio.",,,,8,,,,,,,,,,,,,,,,,,,,,,
12,2,I often use my computer to discover and educate myself about topics that catch my interest.,,,,4,,,,,,,,,,,,,,,,,,,,,,
13,3,A programming language that is good for beginners ,,,,3,,,,,,,,,,,,,,,,,,,,,,
14,3,python is a language that does not use semicolon when concluding a line of code. its very easy to use. its the main language for machine learning. its fun to use. very easy to follow,,,,5,,,,,,,,,,,,,,,,,,,,,,
15,3,"Python is a high-level, interpreted programming language renowned for its simplicity, readability, and versatility. It emphasizes code readability, supports multiple programming paradigms, and boasts a vast standard library. Widely used in web development, data analysis, AI, and automation, Python is favored for its ease of learning and use.",,,,9,,,,,,,,,,,,,,,,,,,,,,
16,3,"Python is a versatile and popular programming language known for its simplicity and readability. It's used for various purposes, including web development, data analysis, machine learning, and automation. I find it a great language to learn due to its extensive libraries and frameworks that make complex tasks easier to manage.",,,,9,,,,,,,,,,,,,,,,,,,,,,
17,3,"Python is a high-level language and I think it is the most used as a programming language. It is built to write programs that has user-friendly features making it more easier to learn compared to other programming languages. Python is commonly used to build machine learning, web applications, data analysis, etc.",,,,9,,,,,,,,,,,,,,,,,,,,,,
18,3,"Python is a user-friendly interpreted programming language recognized for its simplicity and ease of reading. It prioritizes code readability, enabling developers to create concise and coherent code for projects of any size.",,,,7,,,,,,,,,,,,,,,,,,,,,,
